name,level,nums
丰台科技园,3,80
科怡路,3,80
郭公庄,3,80
丰台南路,3,80
首经贸,3,80
丰台站,3,80
纪家庙,3,80
大葆台,3,80
丰台东大街,3,80
泥洼,3,80
草桥,3,80
西局,3,80
七里庄,3,80
西红门,3,80
四环路,3,80
樊羊路,3,80
富丰桥,3,80
丰富桥南,3,80
新发地,3,80
看丹,3,80
东管头,3,80
榆树庄,3,80
丽泽商务区,3,80
新宫,2,80
和义,2,80
东高地,2,80
公益西桥,2,80
火箭万源,2,80
大红门南,2,80
角门东,2,80
角门西,2,80
大红门,2,80
草桥,2,80
西红门,2,80
五福堂,2,80
马家堡,2,80
石榴庄,2,80
大红门,2,80
海户屯,2,80
大红门南,2,80
木樨园,2,80
宋家庄,2,80
角门东,2,80
刘家窑,2,80
景泰,2,80
永定门外,2,80
蒲黄榆,2,80
角门西,2,80
陶然桥,2,80
马家堡,2,80
公益西桥,2,80
北京南站,2,80
和义,2,80
成寿寺,2,80
方庄,2,80
肖村,2,80
分钟寺,2,80
天桥,2,80
天坛东门,2,80
东高地,2,80
陶然亭,2,80
草桥,2,80
小红门,2,80
十里河,2,80
景风门,2,80
西铁营,2,80
丰台东大街,2,80
大井,2,80
七里庄,2,80
泥洼,2,80
西局,2,80
丰台站,2,80
丰台南路,2,80
六里桥,2,80
郭庄子,2,80
科怡路,2,80
首经贸,2,80
丰台科技园,2,80
大瓦窑,2,80
六里桥东,2,80
纪家庙,2,80
莲花桥,2,80
富丰桥,2,80
看丹,2,80
丰益桥南,2,80
榆树庄,2,80
东管头,2,80
四环路,2,80
丽泽商务区,2,80
红莲南里,2,80
宛平城,2,80
樊羊路,2,80
湾子,2,2
北京西站,2,2
达官营,2,2
公主坟,2,2
军事博物馆,2,2
万寿路,2,2
广安门内,2,2
木樨地,2,2
五棵松,2,2
南礼士路,2,2
东管头,2,2
红莲南里,2,2
丽泽商务区,2,2
菜户营,2,2
西铁营,2,2
牛街,2,2
精风门,2,2
富丰桥,2,2
玉渊潭东门,2,2
南礼士路,2,2
复兴门,2,2
长椿树,2,2
阜成门,2,2
军事博物馆,2,2
达官营,2,2
广安门内,2,2
西单,2,2
白堆子,2,2
灵境胡同,2,2
湾子,2,2
武宣们,2,2
车公庄西,2,2
车公庄,2,2
西四,2,2
白石桥南,2,2
和平门,2,2
动物园,2,2
六里桥东,2,2
平安里,2,2
西直门,2,2
天安门西,2,2
虎坊桥,2,2
花园桥,2,2
新街口,2,2
陶然亭,2,2
国家图书馆,2,2
万寿路,2,2
西钓鱼台,2,2
北海北,2,2
前门,2,2
天安门东,2,2
六里桥,2,2
珠市口,2,2
玉渊潭东门,2,2
金融界,2,2
甘家口,2,2
牛街,2,2
二里沟,2,2
红莲南里,2,2
菜户营,2,2
丽泽商务区,2,2
东管头,2,2
鼓楼大街,2,2
中国美术馆,2,2
东四,2,2
灯市口,2,2
金融街,2,2
金鱼胡同,2,2
广渠内门,2,2
广渠门外,2,2
磁器口,2,2
劲松,2,2
方庄,2,2
潘家园,2,2
北京站,2,2
蒲黄榆,2,2
崇文门,2,2
双井,2,2
桥湾,2,2
建国门,2,2
十里河,2,2
永安里,2,2
东单,2,2
景泰,2,2
天桥,2,2
刘家窑,2,2
王府井,2,2
国贸,2,2
平乐园,2,2
北工大西门,2,2
九龙山,2,2
前门,2,2
永定门外,2,2
分钟寺,2,2
灯市口,2,2
天安门东,2,2
金台夕照,2,2
大望路,2,2
宋家庄,2,2
朝阳门,2,2
东大桥,2,2
成寿寺,2,2
大郊亭,2,2
虎坊桥,2,2
陶然桥,2,2
东四,2,2
石榴庄,2,2
呼家楼,2,2
和平门,2,2
海户屯,2,2
中国美术馆,2,2
红庙,2,2
潘家园西,2,2
核心区,2,2
金鱼胡同,2,2
光华路,2,2
京广桥,2,2
北京东站,2,2
清华东路西口,2,2
六道口,2,2
五道口,2,2
北沙滩,2,2
北京大学东门,2,2
圆明园,2,2
知春路,2,2
中关村,2,2
西土城,2,2
知春里,2,2
海淀黄庄,2,2
林萃桥,2,2
牡丹园,2,2
上地,2,2
苏州街,2,2
永泰庄,2,2
人民大学,2,2
奥林匹克公园,2,2
西苑,2,2
健德门,2,2
森林公园南门,2,2
奥体中心,2,2
清河,2,2
学清路,2,2
学院桥,2,2
上清桥,2,2
万泉河桥,2,2
蓟门桥,2,2
北太平庄,2,2
马甸,2,2
北宫门,2,2
安河桥北,2,2
巴沟,2,2
颐和园西门,2,2
火器营,2,2
马连洼,2,2
万泉河桥,2,2
垡头,2,1
欢乐谷景区,2,1
双合,2,1
小红门,2,1
焦化厂,2,1
十里河,2,1
成寿寺,2,1
朝阳港,2,1
十八里店,2,1
天宫院,2,12
清源路,2,12
枣园,2,12
黄村西大街,2,12
大兴新城,2,12
黄村火车站,2,12
高米店南,2,12
高米店北,2,12
义和庄,2,12
生物医药基地,2,12
西红门,2,12
长阳,2,4
篱笆房,2,4
广阳城,2,4
良乡大学城北,2,4
稻田,2,4
良乡大学城,2,4
八宝山,2,1
玉泉路,2,1
八角游乐园,2,1
五棵松,2,1
田村,2,1
廖公庄,2,1
古城,2,1
郭庄子,2,1
西黄村,2,1
大瓦窑,2,1
海淀五路居,2,1
上岸,2,2
石厂,2,2
桥户营,2,
小园,2,
栗园庄,2,
四道桥,2,
